Id,SalePrice
1461,121159.1675646955
1462,165493.1220282923
1463,176127.20312138367
1464,186751.41218210856
1465,178480.94928295823
1466,173539.49206176275
1467,176641.91243562583
1468,170584.9609013389
1469,185414.19536950166
1470,126090.23902044825
1471,200967.0070922831
1472,92096.30383212664
1473,96696.86096151668
1474,154875.42023412418
1475,116457.33852677584
1476,357321.8080078051
1477,256192.03309930617
1478,298831.31433720235
1479,253453.6283077956
1480,494457.4186292496
1481,336209.41612821864
1482,210383.94245687718
1483,176436.37416780952
1484,166083.07996217234
1485,171963.14490447272
1486,192992.77571096297
1487,338230.11480733217
1488,232174.38266272465
1489,202404.80775628504
1490,207882.44458531786
1491,188707.32344504856
1492,94947.6409852539
1493,179662.4643547678
1494,288774.24044204917
1495,283825.58462841896
1496,224486.63919572197
1497,186074.8660491398
1498,158965.95467480712
1499,155246.9474709388
1500,151058.8908583533
1501,173020.89380971834
1502,143327.56968794364
1503,285289.3275317448
1504,241675.02778348577
1505,217839.73463632385
1506,191808.4971037812
1507,249125.9561825291
1508,195755.68130371615
1509,158894.49519907904
1510,150896.01604701893
1511,147235.25268744046
1512,170576.79836983143
1513,144274.9695873776
1514,162424.41618461
1515,176916.19704918648
1516,153910.59613296925
1517,167394.32858659598
1518,132719.0221666699
1519,219763.7942006605
1520,132259.3982249818
1521,135068.04042272142
1522,161829.1694468951
1523,111868.44517625537
1524,122922.25008770669
1525,122967.9615983473
1526,117845.04720528769
1527,103935.11970205983
1528,135642.90231767824
1529,153179.41348851103
1530,165046.7900523851
1531,109551.37237418578
1532,101902.79974001425
1533,148463.96141051198
1534,120585.21695814886
1535,149164.85523879403
1536,111764.7263050791
1537,59210.42280804605
1538,154999.52897105186
1539,178249.59197511701
1540,101012.66373655312
1541,142656.52786812856
1542,136883.88783704932
1543,233584.39320046347
1544,73177.93875831591
1545,113550.45775628118
1546,131193.42899938807
1547,132061.7853277681
1548,136114.1552002277
1549,110271.13269091363
1550,133209.35040267967
1551,116008.40677859372
1552,122373.77153275073
1553,149386.09928600752
1554,119681.34805705363
1555,173083.7249662967
1556,85769.14997075454
1557,110332.8702206901
1558,90211.55667454768
1559,86572.74457737597
1560,130790.32487545752
1561,134947.3226986906
1562,129356.38004434247
1563,119174.16991656604
1564,163263.3577577183
1565,142254.6229548205
1566,234248.4834079673
1567,66540.31589574777
1568,237392.4065131902
1569,122299.36715908145
1570,140795.79758981598
1571,113098.50179340458
1572,150564.74796655015
1573,243277.7289823287
1574,114286.28754568903
1575,210189.09527587757
1576,217582.22889728396
1577,194492.68512827207
1578,144678.7653650544
1579,141195.52624371924
1580,188560.28268411622
1581,152124.4739471412
1582,129107.81818878093
1583,320667.64251968125
1584,224906.73468858196
1585,142092.54290851005
1586,67875.97815454748
1587,99721.23206309254
1588,148207.98241603439
1589,94292.69433007215
1590,134287.3606137231
1591,100970.95897639907
1592,122857.94227879123
1593,130014.19283153994
1594,130694.17478502235
1595,109764.10768426025
1596,232624.57569866814
1597,174926.81216811412
1598,195186.65637936554
1599,160960.57303049086
1600,164224.24565902955
1601,69979.54891936979
1602,113262.44610298391
1603,86844.54384464554
1604,274234.8533681142
1605,246127.22114384983
1606,173864.34191880797
1607,187736.2263270633
1608,211886.80418571475
1609,192676.17513523865
1610,149665.40881235854
1611,143455.8286924836
1612,170068.32236665
1613,166696.40126447182
1614,121410.12278780917
1615,85249.15226996927
1616,72889.44278136565
1617,88751.08749200313
1618,126338.62443078482
1619,133622.66640516013
1620,173681.65337493972
1621,133535.8532746962
1622,140585.82394116212
1623,294862.65211076004
1624,212139.83673091498
1625,123903.87884471909
